Degree_difference,Max_degree,Avg_degree,MIN_distance,Avg_cluster_coef,Avg_jaccard,Hyper_jaccard,Adamic_adar,Answer
19,21,10.0,1,0.1461038961038961,0.0,0.0,16.467255452780897,0
47,49,19.0,1,0.15535039672970707,0.024516908212560386,0.0,21.318485776942335,0
1,2,1.5,7,1.0,0.3333333333333333,0.3333333333333333,9.17457612155391,0
86,87,46.0,1,0.047497680908747265,0.010526315789473684,0.0,90.0053142287159,1
6,7,4.0,2,0.12727272727272726,0.0,0.0,38.623059680662,1
1,2,1.5,2,0.25,0.0,0.0,1.07379859876426,1
4,17,15.0,7,0.13203463203463203,0.030303030303030304,0.030303030303030304,1019.4745961562663,0
11,14,8.5,2,0.1043956043956044,0.0,0.0,5.647788783066149,1
1,5,4.5,7,0.15714285714285714,0.08333333333333333,0.08333333333333333,4204.165838092364,0
30,32,16.666666666666668,1,0.25303234776918987,0.1416182733255904,0.023255813953488372,276.4215756930555,1
8,24,20.0,2,0.07322354229047941,0.0,0.0,553.453127335513,0
23,23,11.5,7,0.02857142857142857,0.0,0.0,0.0,1
11,15,9.5,7,0.3333333333333333,0.2,0.2,176.23782465576014,1
2,5,4.0,2,0.3717948717948718,0.0,0.0,15.383510672920352,0
1,4,3.5,2,0.0,0.0,0.0,39.82746958883273,0
2,6,5.0,2,0.3214285714285714,0.0,0.0,225.15800240687895,0
5,10,8.0,1,0.1349206349206349,0.046176046176046176,0.0,38.482436032624136,0
20,23,14.666666666666666,1,0.300360873694207,0.024691358024691357,0.0,165.48468444626303,1
6,12,9.0,1,0.16090909090909092,0.09090909090909091,0.09090909090909091,459.02918055924243,1
2,41,40.0,7,0.08279185108453402,0.01282051282051282,0.01282051282051282,1556.1435888681149,0
6,15,12.0,7,0.22474323062558355,0.03125,0.03125,355.8830372920584,0
29,31,16.5,1,0.3787878787878788,0.05714285714285714,0.05714285714285714,541.7543827715934,0
5,8,5.5,2,0.15476190476190477,0.0,0.0,14.384062405238238,1
6,10,6.5,1,0.13630952380952382,0.03272674439722494,0.0,12.721219787770737,0
60,88,50.53333333333333,1,0.33330559104195745,0.4053475848283962,0.009345794392523364,1224.2810053183707,1
10,17,12.0,2,0.06926406926406926,0.0,0.0,41.465295512233936,0
0,7,7.0,7,0.09523809523809523,0.07692307692307693,0.07692307692307693,112.814119476172,0
32,36,20.0,2,0.153475935828877,0.0,0.0,735.9718999475748,1
4,7,5.0,7,0.2638888888888889,0.08333333333333333,0.08333333333333333,258.4713702263674,0
1,2,1.5,2,0.5,0.0,0.0,230.08738665130687,0
2,4,3.0,2,0.43333333333333335,0.0,0.0,61.16471300276574,0
61,64,33.5,2,0.08803506709765893,0.0,0.0,423.95874159014534,1
6,7,3.0,1,0.10714285714285715,0.3333333333333333,0.0,97.49991621423172,1
8,36,32.0,7,0.48149205309375637,0.03636363636363636,0.03636363636363636,1123.7148261661448,0
22,27,16.0,7,0.13397435897435897,0.022222222222222223,0.022222222222222223,122.05382558647943,1
0,2,2.0,2,0.0,0.0,0.0,4.174890106476451,1
98,143,94.0,7,0.2974795285036249,0.014492753623188406,0.014492753623188406,1568.287708779631,0
5,9,6.5,7,0.23888888888888887,0.07142857142857142,0.07142857142857142,25.542215115606673,1
0,4,4.0,7,0.26190476190476186,0.16666666666666666,0.16666666666666666,1183.8525086862721,0
20,23,13.0,1,0.3547309127232401,0.1898757380349472,0.0,113.2987816043105,1
4,5,3.3333333333333335,1,0.06904761904761904,0.06666666666666667,0.0,120.33459110880044,0
20,22,9.333333333333334,1,0.5049808429118774,0.25,0.09090909090909091,351.7517358706584,0
18,27,20.0,1,0.15498512397737205,0.036813186813186814,0.0,380.50267700227647,0
54,57,31.666666666666668,1,0.5258404704250835,0.07306608120561608,0.029069767441860465,822.6129449650924,1
16,18,10.666666666666666,1,0.4648605621431708,0.38896103896103895,0.26666666666666666,599.0345097740737,0
5,11,8.5,1,0.06868131868131869,0.05263157894736842,0.05263157894736842,601.0022429317205,1
3,6,4.5,2,0.47023809523809523,0.0,0.0,11.422189262746013,1
2,5,4.0,2,0.047619047619047616,0.0,0.0,16.413685781742032,1
5,7,4.5,2,0.03333333333333333,0.0,0.0,4.984234310049617,1
21,33,22.5,2,0.11174242424242425,0.0,0.0,270.7445668834429,1
19,26,14.333333333333334,1,0.48968253968253966,0.4351851851851852,0.25,290.66571264088014,1
27,32,13.2,1,0.4471399561944045,0.04490438709739242,0.0,111.8592564578358,1
4,12,10.0,1,0.11903651903651903,0.09175607001693958,0.03225806451612903,215.15613012495777,0
20,24,14.0,2,0.09858299595141701,0.0,0.0,310.69643255551085,1
361,372,191.5,1,0.08285169664163902,0.007009345794392523,0.007009345794392523,4278.281144470566,1
10,10,5.0,7,0.045454545454545456,0.0,0.0,0.0,1
16,31,23.0,7,0.25502206660101395,0.008849557522123894,0.008849557522123894,1945.4729047216483,0
50,57,25.333333333333332,1,0.10969183795270752,0.038421052631578946,0.0,140.4392483926669,1
4,27,25.0,1,0.08013340233454086,0.06557377049180328,0.06557377049180328,1344.4214018297348,1
41,43,22.5,2,0.1854421768707483,0.0,0.0,241.1258524110864,1
3,91,89.5,7,0.2634863708475554,0.006211180124223602,0.006211180124223602,2424.496179824252,0
18,19,7.5,1,0.22777777777777777,0.02631578947368421,0.0,3.951794073395031,1
0,9,9.0,7,0.36079545454545453,0.022727272727272728,0.022727272727272728,2554.0338626265207,0
1,3,2.5,2,0.5,0.0,0.0,10.998478474650534,0
2,12,11.0,2,0.16339869281045752,0.0,0.0,412.6370866153704,0
0,17,17.0,7,0.3019890648567119,0.036585365853658534,0.036585365853658534,1307.9074956705576,0
1,3,2.5,2,0.7309941520467836,0.0,0.0,638.2284301852043,0
3,13,11.5,1,0.1637022397891963,0.12903225806451613,0.12903225806451613,692.7608452918156,1
2,5,4.0,2,0.2,0.0,0.0,45.51099733823649,0
4,13,11.0,1,0.05876068376068376,0.047619047619047616,0.047619047619047616,99.75425061599246,1
2,8,7.0,7,0.147008547008547,0.045454545454545456,0.045454545454545456,685.3430322195592,0
2,5,4.0,2,0.19999999999999998,0.0,0.0,12.564830294509777,1
1,84,83.5,7,0.03198580445771457,0.0051813471502590676,0.0051813471502590676,2728.237985671381,0
42,46,19.0,1,0.19469507101086048,0.06744366744366745,0.014705882352941176,797.9949197975264,0
19,28,18.5,7,0.3358648056923919,0.15151515151515152,0.15151515151515152,820.6009936701292,1
1,4,3.5,2,0.24523809523809523,0.0,0.0,0.621863016786465,0
31,38,22.5,2,0.07443438914027149,0.0,0.0,373.5155510397809,0
6,7,4.0,1,0.5357142857142857,0.1111111111111111,0.1111111111111111,122.44237766980845,0
28,37,22.666666666666668,1,0.20083203833203833,0.32450097155979507,0.07692307692307693,400.03818570886614,1
1,15,14.5,7,0.2976393976393976,0.014925373134328358,0.014925373134328358,898.6070373751762,0
33,62,45.5,1,0.07947792869269948,0.058333333333333334,0.058333333333333334,1679.4458922041688,1
115,133,75.5,7,0.04166072338257769,0.005681818181818182,0.005681818181818182,1986.659009275814,0
10,13,8.0,7,0.5112554112554113,0.01639344262295082,0.01639344262295082,2476.788214371751,0
3,5,3.5,7,0.6447330447330447,0.03225806451612903,0.03225806451612903,1187.3427417589269,1
43,46,24.5,2,0.3769230769230769,0.0,0.0,744.3212370181936,0
60,64,28.666666666666668,1,0.1639355881739394,0.05590997696260854,0.0,720.3488969930644,1
3,16,14.5,7,0.1615232593493463,0.02857142857142857,0.02857142857142857,782.6363918500565,1
4,6,4.0,7,0.5333333333333333,0.14285714285714285,0.14285714285714285,203.79135133918763,1
26,33,17.2,1,0.32043214095845673,0.23055536179721908,0.0,68.58658395794836,1
3,10,8.5,7,0.22402597402597402,0.05263157894736842,0.05263157894736842,910.7419380347891,0
1,4,3.5,7,0.16666666666666666,0.14285714285714285,0.14285714285714285,1346.563452319743,0
1,4,3.5,7,0.5630952380952381,0.09090909090909091,0.09090909090909091,1085.1991054986163,0
1,3,2.5,2,0.5,0.0,0.0,0.0,1
27,39,25.5,7,0.1789455815661891,0.010416666666666666,0.010416666666666666,1177.7294032026239,0
93,94,47.5,2,0.005520654863887303,0.0,0.0,1.7576401740501848,1
1,2,1.5,2,0.5,0.0,0.0,101.32371000394907,1
58,60,28.0,2,0.11327045754290337,0.009389671361502348,0.0,74.79358735844903,0
33,37,15.666666666666666,1,0.3333333333333333,0.06945646945646945,0.02127659574468085,163.29257611783478,0
1,2,1.5,2,0.43333333333333335,0.0,0.0,92.67627883995858,0
0,2,2.0,2,0.0,0.0,0.0,19.00466277749327,1
86,94,51.0,2,0.047187321530553966,0.0,0.0,1060.6331281842547,1
19,20,10.5,1,0.5760233918128654,0.05,0.05,163.8260892612082,1
22,44,35.333333333333336,1,0.08647969159628223,0.022141706924315618,0.0,538.149377244357,1
23,25,13.5,2,0.10963455149501661,0.0,0.0,138.76021205793413,0
